Method,Sensor,Representation,Year,Month,AP2D ,AP2D ,AP2D ,AP3D,AP3D,AP3D,APBEV,APBEV,APBEV,NuScenes,NuScenes,Waymo,Waymo,Time (s),Code,Hardware,Paper
HVPR,LiDAR,Point-Voxel,2021,Apr,-,-,-,86.38,77.92,73.04,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2104.00902
M3DETR,LiDAR,Point-Voxel,2021,Apr,97.39,94.83,92.1,90.28,81.73,76.96,94.41,90.37,85.98,-,-,-,-,n/ a s,TRUE,GPU @ 1.0 Ghz (Python),https://arxiv.org/abs/2104.11896
VIC-Net,LiDAR,Point-Voxel,2021,May,-,-,-,88.6,81.57,77.09,-,-,-,-,-,-,-,-,TRUE,-,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9561597
PVG-Net,LiDAR,Point-Voxel,2021,Jun,-,-,-,89.94,81.81,77.09,94.36,91.26,86.63,-,-,74,-,-,FALSE,-,https://openaccess.thecvf.com/content/CVPR2021/papers/Miao_PVGNet_A_Bottom-Up_One-Stage_3D_Object_Detector_With_Integrated_Multi-Level_CVPR_2021_paper.pdf
CT3D ,LiDAR,Point-Voxel,2021,Aug,-,-,-,87.83,81.77,77.16,92.36,88.83,84.07,-,-,76.3,69.04,-,TRUE,-,https://arxiv.org/abs/2108.10723
Pyramid-PV,LiDAR,Point-Voxel,2021,Sep,95.88,95.13,92.62,88.39,82.08,77.49,92.19,88.84,86.21,-,-,-,-,0.07,TRUE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/2109.02499
DVFENet,LiDAR,Point-Voxel,2021,Oct,95.35,94.57,91.77,86.2,79.18,74.58,90.93,87.68,84.6,-,-,-,-,0.05,FALSE,1 core @ 2.5 Ghz (Python + C/C++),https://dl.acm.org/doi/10.1016/j.neucom.2021.06.046
AFE-RCNN,LiDAR,Point-Voxel,2022,Jan,95.84,94.63,92.07,88.41,81.53,77.03,-,-,-,-,-,-,-,-,FALSE,-,https://www.mdpi.com/2072-4292/14/5/1176
PDV,LiDAR,Point-Voxel,2022,Mar,96.07,95,92.44,90.43,81.86,77.36,94.56,90.48,86.23,-,-,-,-,0.1,TRUE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/2203.05662
EQ-PVRCNN,LiDAR,Point-Voxel,2022,Mar,98.23,95.32,92.65,90.13,82.01,77.53,94.55,89.09,86.4,-,-,-,-,0.2,TRUE,GPU @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/2203.01252
Bi3D,LiDAR,Point-Voxel,2023,Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2303.05886
PVT-SSD,LiDAR,Point-Voxel,2023,May,96.75,95.9,90.69,90.65,82.29,76.85,95.23,91.63,86.43,-,-,-,-,0.05,FALSE,1 core @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/2305.06621
PG-RCNN,LiDAR,Point-Voxel,2023,Jul,96.66,95.4,90.55,89.38,82.13,77.33,93.39,89.46,86.54,-,-,-,-,0.06,TRUE,GPU @ 1.5 Ghz (Python),https://arxiv.org/abs/2307.12637
Uni3DETR,LiDAR,Point-Voxel,2023,Oct,-,-,-,91.14,82.26,77.58,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2310.05699
3DOMV,Camera,Multiview,2017,,,,,,,,,,,,,-,-,,FALSE,,https://arxiv.org/abs/2110.06922
MVRA,Camera,Multiview,2019,Oct,95.87,94.98,82.52,5.19,3.27,2.49,9.05,5.84,4.5,-,-,-,-,0.18,FALSE,GPU @ 2.5 Ghz (Python),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9022190
H^2 3D R-CNN,Camera,Multiview,2021,,96.2,92.3,90.55,90.43,81.55,77.22,92.85,88.87,86.07,,,-,-,0.03,TRUE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/2112.11790
DETR3D,Camera,Multiview,2021,,,,,,,,,,,41.2,47.9,-,-,,FALSE,,https://arxiv.org/abs/2206.10092
BEVDet,Camera,Multiview,2021,,,,,,,,,,,39.8,46.3,-,-,,FALSE,,https://arxiv.org/abs/2106.01178
BEVDepth,Camera,Multiview,2022,,,,,,,,,,,52,60.9,-,-,,FALSE,,https://arxiv.org/abs/2203.05625
ImVoxelNet,Camera,Multiview,2022,,89.9,79.09,69.45,17.15,10.97,9.15,25.19,16.37,13.58,41.2,47.9,-,-,0.2,TRUE,GPU @ 2.5 Ghz (Python),https://arxiv.org/abs/2208.10145
PETR,Camera,Multiview,2022,,,,,,,,,,,44.5,50.4,-,-,,FALSE,,https://arxiv.org/abs/2205.09743
STS,Camera,Multiview,2022,,,,,,,,,,,42.2,52.9,-,-,,FALSE,,https://arxiv.org/abs/2203.17270
BEVerse,Camera,Multiview,2022,,,,,,,,,,,39.3,53.1,-,-,,FALSE,,https://arxiv.org/abs/2211.10439
BEVFormer,Camera,Multiview,2022,,,,,,,,,,,48.1,56.9,-,-,,FALSE,,https://arxiv.org/abs/2304.00967
BEVFormerv2,Camera,Multiview,2022,,,,,,,,,,,,,-,-,,FALSE,,https://arxiv.org/abs/2209.10248
BEVStereo,Camera,Multiview,2022,,,,,,,,,,,52.5,61,-,-,,FALSE,,https://arxiv.org/abs/2206.04042
SOLOFusion,Camera,Multiview,2022,,,,,,,,,,,54,61.9,-,-,,FALSE,,https://arxiv.org/abs/2206.15398
Ego3D,Camera,Multiview,2022,,,,,,,,,,,,,-,-,,FALSE,,https://arxiv.org/abs/2207.00865
PolarFormer,Camera,Multiview,2022,,,,,,,,,,,45.6,54.3,-,-,,FALSE,,https://arxiv.org/abs/2211.12501
ORA3D,Camera,Multiview,2022,,,,,,,,,,,,,-,-,,FALSE,,https://arxiv.org/abs/2303.01686
AeDet,Camera,Multiview,2022,,,,,,,,,,,,,-,-,,FALSE,,https://arxiv.org/abs/2303.10209
BEV3D,Camera,Multiview,2022,,,,,,,,,,,42.1,47.4,,,,FALSE,,
SH3D,Camera,Multiview,2022,,,,,,,,,,,40.6,47.8,,,,FALSE,,
SpatialDETR,Camera,Multiview,2022,,,,,,,,,,,42.5,48.7,,,,FALSE,,
PolarDETR,Camera,Multiview,2022,,,,,,,,,,,43.1,49.3,,,,FALSE,,
FocalPETR,Camera,Multiview,2022,,,,,,,,,,,46.5,51.6,,,,FALSE,,
PETRv2,Camera,Multiview,2022,,,,,,,,,,,49,58.2,,,,FALSE,,
VoxelFormer,Camera,Multiview,2022,,,,,,,,,,,48.6,57.4,,,,FALSE,,
BevFormer2,Camera,Multiview,2022,,,,,,,,,,,55.6,63.4,,,,FALSE,,
Multicon,Camera,Multiview,2022,,,,,,,,,,,45.4,51.6,,,,FALSE,,
BEV Distill,Camera,Multiview,2022,,,,,,,,,,,49.6,59.4,,,,FALSE,,
HoP,Camera,Multiview,2023,,,,,,,,,,,62.4,68.5,-,-,,FALSE,,https://arxiv.org/abs/2210.02443
MV3D-Det,Camera,Multiview,2023,,,,,,,,,,,,,-,-,,FALSE,,https://arxiv.org/abs/2303.14548
CAPE,Camera,Multiview,2023,,,,,,,,,,,55.3,62.8,-,-,,FALSE,,https://arxiv.org/abs/2308.09244
VEDet,Camera,Multiview,2023,,,,,,,,,,,,,-,-,,FALSE,,https://arxiv.org/abs/2303.11926
SparseBEV,Camera,Multiview,2023,,,,,,,,,,,60.3,67.5,-,-,,FALSE,,https://arxiv.org/abs/2308.10515
StreamPETR,Camera,Multiview,2023,,,,,,,,,,,55,63.1,-,-,,FALSE,,https://arxiv.org/abs/2309.15109
QD-BEV,Camera,Multiview,2023,,,,,,,,,,,,,-,-,,FALSE,,https://arxiv.org/abs/2308.13794
DistillBEV,Camera,Multiview,2023,,,,,,,,,,,,,-,-,,FALSE,,https://arxiv.org/abs/2308.02236
SOGDet,Camera,Multiview,2023,,,,,,,,,,,47.4,58.1,-,-,,FALSE,,https://arxiv.org/abs/2308.13794
FB-BEV,Camera,Multiview,2023,,,,,,,,,,,,,-,-,,FALSE,,https://arxiv.org/abs/2308.02236
VAMPIRE,Camera,Multiview,2023,,,,,,,,,,,,,-,-,,FALSE,,https://arxiv.org/abs/2312.11837
IA-BEV,Camera,Multiview,2023,,,,,,,,,,,54.5,63,-,-,,FALSE,,https://arxiv.org/abs/2312.08004
NERF-Det,Camera,Multiview,2023,,,,,,,,,,,,,-,-,,FALSE,,https://arxiv.org/abs/2307.14620
ImGeoNet,Camera,Multiview,2023,,,,,,,,,,,,,,,,FALSE,,https://arxiv.org/abs/2308.09098
VEDet,Camera,Multiview,2023,,,,,,,,,,,,,,,,FALSE,,https://www.youtube.com/watch?v=EmQecaJi-2U&list=WL&index=23&ab_channel=DianChen
BEVHeight ,Camera,Multiview,2023,,,,,,,,,,,53.2,61.5,,,,FALSE,,
WeakMono3D,Camera,Multiview,2023,Mar,-,-,-,6.98,4.85,4.45,12.31,8.8,7.81,,,,,,FALSE,,https://openaccess.thecvf.com/content/CVPR2023/papers/Tao_Weakly_Supervised_Monocular_3D_Object_Detection_Using_Multi-View_Projection_and_CVPR_2023_paper.pdf
NERF-Det++,Camera,Multiview,2024,,,,,,,,,,,,,,,,FALSE,,https://arxiv.org/abs/2402.14464
NERF-DetS,Camera,Multiview,2024,,,,,,,,,,,,,,,,FALSE,,https://arxiv.org/abs/2404.13921
MVSDet,Camera,Multiview,2024,,,,,,,,,,,,,,,,FALSE,,https://arxiv.org/abs/2410.21566
RT-BEV,Camera,Multiview,2024,,,,,,,,,,,,,,,,FALSE,,https://github.com/Torreskai0722/RT-BEV
BEV-TinySpotter,Camera,Multiview,2024,,,,,,,,,,,,,,,,FALSE,,https://www.sciencedirect.com/science/article/pii/S1566253524005712
MambaDetr,Camera,Multiview,2024,,,,,,,,,,,,,,,,FALSE,,https://arxiv.org/pdf/2411.13628
PolarBEVDet,Camera,Multiview,2024,,,,,,,,,,,55.8,63.5,,,,FALSE,,
SeaBird,Camera,Multiview,2024,Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2403.20318
GO-N3RDet,Camera,Multiview,2025,,,,,,,,,,,,,,,,FALSE,,https://arxiv.org/pdf/2503.15211
PolarBEVU,Camera,Multiview,2025,,,,,,,,,,,,,,,,FALSE,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10908369
RoPETR,Camera,Multiview,2025,,,,,,,,,,,64.8,70.9,,,,FALSE,,
3DOP,Camera,Stereo,2015,Dec,92.96,89.55,79.38,-,-,-,-,-,-,-,-,-,-,3,FALSE,GPU @ 2.5 Ghz (Matlab + C/C++),https://proceedings.neurips.cc/paper_files/paper/2015/file/6da37dd3139aa4d9aa55b8d237ec5d4a-Paper.pdf
Pseudo-LiDAR,Camera,Stereo,2018,Dec,85.4,67.79,58.5,54.53,34.05,28.25,67.3,45,38.4,-,-,-,-,0.4,TRUE,GPU @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/1812.07179
Stereo R-CNN,Camera,Stereo,2019,Feb,93.98,85.98,71.25,47.58,30.23,23.72,61.92,41.31,33.42,-,-,-,-,0.3,TRUE,GPU @ 2.5 Ghz (Python),https://arxiv.org/abs/1902.09738
TLNet,Camera,Stereo,2019,Jun,76.92,63.53,54.58,7.64,4.37,3.74,13.71,7.69,6.73,-,-,-,-,0.1,TRUE,1 core @ 2.5 Ghz (Python),https://arxiv.org/pdf/1906.01193
Pseudo-LiDAR++,Camera,Stereo,2019,Jun,94.46,82.9,75.45,61.11,42.43,36.99,78.31,58.01,51.25,-,-,-,-,0.4,TRUE,GPU @ 2.5 Ghz (Python),https://arxiv.org/abs/1906.06310
RT3D-Stereo,Camera,Stereo,2019,Oct,56.53,45.81,37.63,29.9,23.28,18.96,58.81,46.82,38.38,-,-,-,-,0.08,TRUE,GPU @ 2.5 Ghz (C/C++),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8917330
DSGN,Camera,Stereo,2020,Jan,95.53,86.43,78.75,73.5,52.18,45.14,82.9,65.05,56.6,-,-,-,-,0.67,TRUE,NVIDIA Tesla V100,https://arxiv.org/pdf/2001.03398
OC-Stereo,Camera,Stereo,2020,Mar,87.39,74.6,62.56,55.15,37.6,30.25,68.89,51.47,42.97,-,-,-,-,0.35,TRUE,1 core @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/2003.05505
ZoomNet,Camera,Stereo,2020,Mar,94.22,83.92,69,55.98,38.64,30.97,72.94,54.91,44.14,-,-,-,-,0.3,TRUE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/pdf/2003.00529
Disp R-CNN,Camera,Stereo,2020,Apr,93.45,82.64,70.45,68.21,45.78,37.73,79.76,58.62,47.73,-,-,-,-,0.387,TRUE,GPU @ 2.5 Ghz (Python + C/C++),https://arxiv.org/pdf/2004.03572
Pseudo-LiDAR E2E,Camera,Stereo,2020,Apr,-,-,-,64.75,43.92,38.14,79.6,58.8,52.1,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2004.03080
IDA3D,Camera,Stereo,2020,Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://openaccess.thecvf.com/content_CVPR_2020/papers/Peng_IDA-3D_Instance-Depth-Aware_3D_Object_Detection_From_Stereo_Vision_for_Autonomous_CVPR_2020_paper.pdf
CDN,Camera,Stereo,2020,Jul,95.85,87.19,79.43,74.52,54.22,46.36,83.32,66.24,57.65,-,-,-,-,0.6,TRUE,GPU @ 2.5 Ghz (Python),https://arxiv.org/abs/2007.03085
CG-Stereo,Camera,Stereo,2020,Sep,96.31,90.38,82.8,74.39,53.58,46.5,85.29,66.44,58.95,-,-,-,-,0.57,FALSE,GeForce RTX 2080 Ti,https://arxiv.org/abs/1909.07566
RTS3D,Camera,Stereo,2020,Dec,-,-,-,58.51,37.38,31.12,72.17,45.22,38.48,-,-,-,-,-,TRUE,-,https://arxiv.org/pdf/2012.15072
RT3D-GMP,Camera,Stereo,2020,Dec,62.41,51.95,39.14,16.23,11.41,10.12,69.14,59,45.49,-,-,-,-,0.06,FALSE,GPU @ 2.5 Ghz (Python + C/C++),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9294743
PLUMENet,Camera,Stereo,2021,Jan,-,-,-,-,-,-,83.32,66.24,57.65,-,-,-,-,0.15,TRUE,GPU @ 2.5 Ghz (Python),https://arxiv.org/abs/2101.06594
YOLOStereo3D,Camera,Stereo,2021,Mar,94.81,82.15,62.17,65.68,41.25,30.42,76.1,50.28,36.86,-,-,-,-,0.1,TRUE,GPU 1080Ti,https://arxiv.org/abs/2103.09422
SIDE,Camera,Stereo,2021,Aug,-,-,-,47.69,30.82,25.68,-,-,-,-,-,-,-,-,FALSE,-,https://arxiv.org/abs/2108.09663
LIGA-Stereo,Camera,Stereo,2021,Aug,96.43,93.82,86.19,81.39,64.66,57.22,88.15,76.78,67.4,-,-,-,-,0.4,TRUE,1 core @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/2108.08258
StereoCenterNet,Camera,Stereo,2021,Sep,96.61,91.27,93.5,49.44,31.3,25.62,62.97,42.12,35.37,-,-,-,-,0.04,FALSE,GPU @ 2.5 Ghz (Python),https://arxiv.org/pdf/2103.11071
ESGN,Camera,Stereo,2021,Nov,44.09,32.6,29.1,65.8,46.39,38.42,78.1,58.12,49.28,-,-,-,-,0.06,FALSE,GPU @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/2111.14055
SNVC,Camera,Stereo,2022,Mar,96.33,93.32,85.81,78.54,61.34,54.23,86.88,73.61,64.49,-,-,-,-,1,TRUE,GPU @ 1.0 Ghz (Python),https://arxiv.org/abs/2203.11018
Pseudo-Stereo,Camera,Stereo,2022,Mar,95.75,90.27,82.32,23.74,17.74,15.14,32.64,23.76,20.64,-,-,-,-,0.25,TRUE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/2203.02112
DSGN++,Camera,Stereo,2022,Apr,98.08,95.7,88.27,83.21,67.37,59.91,88.55,78.94,69.74,-,-,-,-,0.2,TRUE,GeForce RTX 2080Ti,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9745802
DfM,Camera,Stereo,2022,Jul,-,-,-,22.94,16.82,14.65,31.71,22.89,19.97,-,-,-,-,-,FALSE,-,https://arxiv.org/abs/2207.12988
DID-M3D,Camera,Stereo,2022,Jul,94.29,91.04,81.31,24.4,16.29,13.75,32.95,22.76,19.83,-,-,-,-,0.04,TRUE,1 core @ 2.5 Ghz (Python),https://arxiv.org/abs/2207.08531
DMF,Camera,Stereo,2022,Oct,89.5,85.49,82.52,77.55,67.33,62.44,84.64,80.29,76.05,-,-,-,-,0.2,FALSE,1 core @ 2.5 Ghz (Python + C/C++),https://arxiv.org/pdf/2204.03039
StereoDistill,Camera,Stereo,2023,Jan,97.61,93.43,87.71,81.66,66.39,57.39,89.03,78.59,69.34,-,-,-,-,0.4,FALSE,1 core @ 2.5 Ghz (Python),https://arxiv.org/pdf/2301.01615
TS3D,Camera,Stereo,2023,Apr,-,-,-,64.61,41.29,30.68,-,-,-,-,-,-,-,-,FALSE,-,https://arxiv.org/pdf/2304.11906v3
PS-SVDM,Camera,Stereo,2023,Jul,94.49,87.55,78.21,29.22,18.13,15.35,38.18,24.82,20.89,,,,,1,FALSE,1 core @ 2.5 Ghz (Python),https://arxiv.org/pdf/2307.02270
3DVP,Camera,Monocular,2015,Oct,84.95,76.98,65.78,-,-,-,-,-,-,-,-,-,-,40,TRUE,8 cores @ 3.5 Ghz (Matlab + C/C++),https://ieeexplore.ieee.org/document/7298800
SubCNN,Camera,Monocular,2016,Apr,94.26,89.98,79.78,-,-,-,-,-,-,-,-,-,-,2,TRUE,GPU @ 3.5 Ghz (Python + C/C++),https://arxiv.org/abs/1604.04693
Mono3D,Camera,Monocular,2016,Jun,80.3,67.29,62.23,-,-,-,-,-,-,-,-,-,-,4.2,TRUE,GPU @ 2.5 Ghz (Matlab + C/C++),https://openaccess.thecvf.com/content_cvpr_2016/html/Chen_Monocular_3D_Object_CVPR_2016_paper.html
Deep3DBox,Camera,Monocular,2016,Dec,94.71,90.19,76.82,-,-,-,-,-,-,-,-,-,-,1.5,TRUE,GPU @ 2.5 Ghz (C/C++),https://arxiv.org/abs/1612.00496
Deep MANTA,Camera,Monocular,2017,Mar,98.89,93.5,83.21,-,-,-,-,-,-,-,-,-,-,0.7,FALSE,GPU @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/1703.07570
3D-RCNN,Camera,Monocular,2018,Jun,90.02,89.39,80.29,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://openaccess.thecvf.com/content_cvpr_2018/papers/Kundu_3D-RCNN_Instance-Level_3D_CVPR_2018_paper.pdf
MF3D,Camera,Monocular,2018,Jun,90.43,87.33,76.78,7.08,5.18,4.68,13.73,9.62,8.22,-,-,-,-,-,TRUE,-,https://openaccess.thecvf.com/content_cvpr_2018/papers/Xu_Multi-Level_Fusion_Based_CVPR_2018_paper.pdf
OFT-Net,Camera,Monocular,2018,Nov,-,-,-,2.5,3.28,2.27,9.5,7.99,7.51,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/1811.08188
MonoGRNet,Camera,Monocular,2018,Nov,88.65,77.94,63.31,9.61,5.74,4.25,18.19,11.17,8.73,-,-,-,-,0.04,TRUE,NVIDIA P40,https://arxiv.org/abs/1811.10247
ROI-10D,Camera,Monocular,2018,Dec,76.56,70.16,61.15,4.32,2.02,1.46,9.78,4.91,3.74,-,-,-,-,0.2,FALSE,GPU @ 3.5 Ghz (Python),https://arxiv.org/abs/1812.02781
Mono3D++,Camera,Monocular,2019,Jan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,-,https://arxiv.org/abs/1901.03446
AM3D ,Camera,Monocular,2019,Mar,92.55,88.71,77.88,16.5,10.74,9.52,27.91,22.24,18.62,-,-,-,-,0.4,FALSE,GPU @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/1903.11444
GS3D,Camera,Monocular,2019,Mar,86.23,76.35,62.67,4.47,2.9,2.47,8.41,6.08,4.94,-,-,-,-,2,FALSE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/1903.10955
Mono3D-PLiDAR,Camera,Monocular,2019,Mar,80.85,53.36,44.8,10.76,7.5,6.1,21.27,13.92,11.25,-,-,-,-,0.1,FALSE,NVIDIA GeForce 1080 (pytorch),https://arxiv.org/abs/1903.09847
Deep Optics,Camera,Monocular,2019,Apr,-,-,-,16.86,13.82,13.26,26.71,19.87,19.11,-,-,-,-,-,FALSE,-,https://arxiv.org/abs/1904.08601
CenterNet,Camera,Monocular,2019,Apr,-,-,-,-,-,-,-,-,-,33.8,40,-,-,-,TRUE,-,https://arxiv.org/pdf/1904.07850
FQNet,Camera,Monocular,2019,Apr,94.72,90.17,76.78,2.77,1.51,1.01,5.4,3.23,2.46,-,-,-,-,0.5,FALSE,1 core @ 2.5 Ghz (Python),https://arxiv.org/abs/1904.12681
Shift R-CNN,Camera,Monocular,2019,May,94.07,88.48,78.34,6.88,3.87,2.83,11.84,6.82,5.27,-,-,-,-,0.25,FALSE,GPU @ 1.5 Ghz (Python),https://arxiv.org/abs/1905.09970
MonoDIS,Camera,Monocular,2019,May,90.31,87.58,76.85,10.37,7.94,6.4,18.8,19.08,17.41,30.4,38.4,-,-,-,TRUE,-,https://arxiv.org/abs/1905.12365
M3D-RPN,Camera,Monocular,2019,Jul,89.04,85.08,69.26,14.76,9.71,7.42,21.02,13.67,10.23,-,-,-,-,0.16,TRUE,GPU @ 1.5 Ghz (Python),https://arxiv.org/abs/1907.06038
ForeSeE,Camera,Monocular,2019,Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/1909.07701
MonoPSR,Camera,Monocular,2019,Sep,93.63,88.5,73.36,10.76,7.25,5.85,18.33,12.58,9.91,-,-,-,-,0.2,TRUE,GPU @ 3.5 Ghz (Python),https://arxiv.org/abs/1904.01690
RefinedMPL,Camera,Monocular,2019,Nov,88.29,65.24,53.2,18.09,11.14,8.94,28.08,17.6,13.95,-,-,-,-,0.15,FALSE,GPU @ 2.5 Ghz (Python + C/C++),https://arxiv.org/pdf/1911.09712
MonoFENet,Camera,Monocular,2019,Nov,91.68,86.63,76.71,8.35,5.14,4.1,17.03,11.03,9.05,-,-,-,-,0.15,FALSE,1 core @ 3.5 Ghz (Python),https://ieeexplore.ieee.org/document/8897727
SDFLabel,Camera,Monocular,2019,Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/1911.11288
D4LCN,Camera,Monocular,2019,Dec,90.34,83.67,65.33,16.65,11.72,9.51,22.51,16.02,12.55,-,-,-,-,0.2,TRUE,GPU @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/1912.04799
MoVi-3D,Camera,Monocular,2019,Dec,-,-,-,15.19,10.9,9.26,22.76,17.03,14.85,-,-,-,-,-,FALSE,-,https://arxiv.org/abs/1912.08035
RTM3D,Camera,Monocular,2020,Jan,91.82,86.93,77.41,14.41,10.34,8.77,19.17,14.2,11.99,-,-,-,-,0.05,TRUE,GPU @ 1.0 Ghz (Python),https://arxiv.org/abs/2001.03343
SMOKE,Camera,Monocular,2020,Feb,93.21,87.51,77.66,14.03,9.76,7.84,20.83,14.49,12.75,-,-,-,-,0.03,TRUE,GPU @ 2.5 Ghz (Python),https://arxiv.org/abs/2002.10111
MonoPair,Camera,Monocular,2020,Mar,96.61,93.55,83.55,13.04,9.99,8.65,19.28,14.83,12.89,-,-,-,-,0.06,FALSE,GPU @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/2003.00504
IAFA,Camera,Monocular,2020,Mar,93.08,89.46,79.83,17.81,12.01,10.61,25.88,17.88,15.35,-,-,-,-,0.04,FALSE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/pdf/2103.03480
SS3D,Camera,Monocular,2020,Apr,92.72,84.92,70.35,10.78,7.68,6.51,16.33,11.52,9.93,-,-,-,-,0.048,TRUE,Tesla V100 (Python),https://arxiv.org/abs/2004.14674
MoNet3D,Camera,Monocular,2020,Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://arxiv.org/abs/2006.16007
Kinematic3D,Camera,Monocular,2020,Jul,89.67,71.73,54.97,19.07,12.72,9.17,26.69,17.52,13.1,-,-,-,-,0.12,TRUE,1 core @ 1.5 Ghz (C/C++),https://arxiv.org/abs/2007.09548
OACV,Camera,Monocular,2020,Jul,-,-,-,8.13,4.77,3.78,16.24,10.13,8.28,-,-,-,-,-,FALSE,-,https://arxiv.org/abs/2007.09836
PatchNet,Camera,Monocular,2020,Aug,-,-,-,15.68,11.12,10.17,22.97,16.86,14.97,-,-,0.39,0.38,0.4,FALSE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/pdf/2008.04582
RAR-Net,Camera,Monocular,2020,Aug,-,-,-,16.37,11.01,9.52,22.45,15.02,12.93,-,-,-,-,-,FALSE,-,https://arxiv.org/abs/2008.13748
MonoDR,Camera,Monocular,2020,Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,-,https://arxiv.org/abs/2009.14524
KM3D,Camera,Monocular,2020,Sep,96.44,91.07,81.19,16.73,11.45,9.92,23.44,16.2,14.47,-,-,-,-,0.03,TRUE,1 core @ 2.5 Ghz (Python),https://arxiv.org/abs/2009.00764
UR3D,Camera,Monocular,2020,Oct,-,-,-,15.58,8.61,6,21.85,12.51,9.2,-,-,-,-,-,FALSE,-,https://www.ecva.net/papers/eccv_2020/papers_ECCV/papers/123740086.pdf
3D-GCk,Camera,Monocular,2020,Oct,89.55,80.19,68.08,3.27,2.52,2.11,5.79,4.57,3.64,-,-,-,-,24ms,FALSE,Tesla V100,https://ieeexplore.ieee.org/abstract/document/9304847
DA-3Ddet,Camera,Monocular,2020,Nov,-,-,-,16.8,11.5,8.9,33.4,24,19.9,-,-,-,-,-,TRUE,-,https://www.ecva.net/papers/eccv_2020/papers_ECCV/papers/123540018.pdf
EgoNet,Camera,Monocular,2020,Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,https://openaccess.thecvf.com/content/CVPR2021/papers/Li_Exploring_intermediate_representation_for_monocular_vehicle_pose_estimation_CVPR_2021_paper.pdf
Decoupled-3D,Camera,Monocular,2020,Fev,87.78,67.72,54.53,11.08,7.02,5.63,23.16,14.82,11.25,-,-,-,-,0.08,FALSE,GPU @ 2.5 Ghz (C/C++),https://arxiv.org/abs/2002.01619
GroundAware,Camera,Monocular,2021,Feb,92.33,82.05,62.08,21.65,13.25,9.91,29.81,17.98,13.08,-,-,-,-,0.05,TRUE,1 core @ 2.5 Ghz (C/C++),https://arxiv.org/abs/2102.00690
Gated3D,Camera,Monocular,2021,Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,-,https://arxiv.org/abs/2102.03602
DDMP-3D,Camera,Monocular,2021,Mar,91.15,81.7,63.12,19.71,12.78,9.8,28.08,17.89,13.44,-,-,-,-,0.18,TRUE,1 core @ 2.5 Ghz (Python),https://arxiv.org/abs/2103.16470
MonoRUn,Camera,Monocular,2021,Mar,95.48,87.91,78.1,19.65,12.3,10.58,27.94,17.34,15.24,-,-,-,-,0.07,TRUE,GPU @ 2.5 Ghz (Python + C/C++),https://arxiv.org/abs/2103.12605
GrooMeD-NMS,Camera,Monocular,2021,Mar,90.14,80.28,63.78,18.1,12.32,9.65,26.19,18.27,14.05,-,-,-,-,0.12,TRUE,1 core @ 2.5 Ghz (Python),https://arxiv.org/abs/2103.17202
